"Bug编号","所属产品","所属模块","所属项目","相关需求","相关任务","Bug标题","关键词","严重程度","优先级","Bug类型","操作系统","浏览器","重现步骤","Bug状态","激活次数","是否确认","抄送给","由谁创建","创建日期","影响版本","指派给","指派日期","解决者","解决方案","解决版本","解决日期","由谁关闭","关闭日期","重复ID","相关Bug","相关用例","最后修改者","lastEditedDate","附件"
"430","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","微信可以设两个地址为默认地址，购买时会报“”发生未知错误“”然后提交成功，后台发货时没有取到地址电话等信息","","3","","代码错误","","","","激活","0","未确认",",","刘辉辉","2017-04-18","Trunk(#trunk)","邱建云","2017-04-18","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"429","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","退货没有出库审核","","3","","代码错误","","","[步骤]
[结果]
[期望]","激活","0","未确认",",","刘辉辉","2017-04-18","Trunk(#trunk)","邱建云","2017-04-18","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"428","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","退货扣数量有误","","3","","代码错误","","","




","激活","0","未确认",",","刘辉辉","2017-04-18","Trunk(#trunk)","邱建云","2017-04-18","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"420","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","这个商品是有规格的，为什么发货的时候，规格不显示？","","3","","代码错误","","","

","激活","0","未确认",",","刘辉辉","2017-04-14","Trunk(#trunk)","邱建云","2017-04-14","","","","0000-00-00","","0000-00-00","0","","0","刘辉辉","2017-04-14","",""
"419","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","微信前端，在结算的时候输入地址，保存后返回首页。点击地址一栏，返回首页","","3","","代码错误","","","[步骤]
[结果]
[期望]","激活","0","未确认",",","刘辉辉","2017-04-14","Trunk(#trunk)","邱建云","2017-04-14","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"418","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","总公司和店铺或分公司的商品管理，现在总公司可以下架分公司或店铺的商品，店铺也可以下架分公司或总公司的商品","","3","","代码错误","","","[步骤]
[结果]
[期望]","激活","0","未确认",",","刘辉辉","2017-04-13","Trunk(#trunk)","邱建云","2017-04-13","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"417","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","特价86，买了8个，2个赠品；主管审核改价85，商品入库的在库价为17.2  =  86*6/30。主管改价无效？赠品会商品的整体影响库存价*********","","3","","代码错误","","","
","激活","0","未确认",",","刘辉辉","2017-04-13","Trunk(#trunk)","邱建云","2017-04-13","","","","0000-00-00","","0000-00-00","0","","0","刘辉辉","2017-04-13","",""
"416","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","门店收货，以前的仓库也显示，但是实际不存在。不小心点错该如何","","3","","代码错误","","","

","激活","0","未确认",",","刘辉辉","2017-04-13","Trunk(#trunk)","邱建云","2017-04-13","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"415","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","审核信息，建议可以记录流程审核意见。比如：审核主管审核可以看到业务审核的意见；发货单审核可以看到业务与主管的审核意见，如此类推。","","3","","代码错误","","","

","激活","0","未确认",",","刘辉辉","2017-04-13","Trunk(#trunk)","邱建云","2017-04-13","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"414","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","建议这个店铺，取得是商品所属的店铺；建议我的订单页面要有总计金额显示","","3","","代码错误","","","","激活","0","未确认",",","刘辉辉","2017-04-13","Trunk(#trunk)","邱建云","2017-04-13","","","","0000-00-00","","0000-00-00","0","","0","刘辉辉","2017-04-13","",""
"413","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","特价，销售单位为包，但是参考的上级折后价，和库存平均价为件的单位","","3","","代码错误","","","","激活","0","未确认",",","刘辉辉","2017-04-13","Trunk(#trunk)","邱建云","2017-04-13","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"412","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","總公司的平台外採購的供應商，是否應該篩選","","3","","代码错误","","","

","激活","0","未确认",",","刘辉辉","2017-04-13","Trunk(#trunk)","邱建云","2017-04-13","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"411","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","小票的服务热线无","","3","","代码错误","","","[步骤]
[结果]
[期望]","激活","0","未确认",",","刘辉辉","2017-04-12","Trunk(#trunk)","邱建云","2017-04-12","","","","0000-00-00","","0000-00-00","0","","0","刘辉辉","2017-04-12","",""
"410","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","会员提货管理，提货时应该对数量进行限制。散客是否可以存货","","3","","代码错误","","","[步骤]
[结果]
[期望]","激活","0","未确认",",","刘辉辉","2017-04-12","Trunk(#trunk)","邱建云","2017-04-12","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"403","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","店铺的员工提成，提成比例，要显示百分号","","3","","代码错误","","","[步骤]
[结果]
[期望]","激活","0","未确认",",","刘辉辉","2017-04-10","Trunk(#trunk)","邱建云","2017-04-10","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"393","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","图1为审核调拨单前，图2为审核调拨单后，图3为调拨单。调出的仓库库存不应该-6吗？经办人从哪里来的？","","3","","代码错误","","","","激活","0","未确认",",","刘辉辉","2017-04-06","Trunk(#trunk)","邱建云","2017-04-06","","","","0000-00-00","","0000-00-00","0","","0","刘辉辉","2017-04-06","",""
"392","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","采购管理的客户余额与往来账管理的合计余额是否有关系？如果有关系，关系是？","","3","","代码错误","","","","激活","0","未确认",",","刘辉辉","2017-04-05","Trunk(#trunk)","邱建云","2017-04-05","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"388","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","普通店铺的平台外采购单审核提示0？备注里的图片为新的采购单收货时审核报错","","3","","代码错误","","","


","激活","0","未确认",",","刘辉辉","2017-04-01","Trunk(#trunk)","邱建云","2017-04-05","","","","0000-00-00","","0000-00-00","0","","0","admin","2017-04-05","",""
"387","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","这个都入库了，为什么状态是草稿","","3","","代码错误","","","","激活","0","未确认",",","刘辉辉","2017-04-01","Trunk(#trunk)","邱建云","2017-04-01","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"384","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","库存里面的在库价是60，标准价里的销售成本为20，是否有错？","","3","","代码错误","","","","激活","0","未确认",",","刘辉辉","2017-04-01","Trunk(#trunk)","邱建云","2017-04-01","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"382","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","同一个单号，总店和子店的显示不一致","","3","","代码错误","","","","激活","0","未确认",",","刘辉辉","2017-04-01","Trunk(#trunk)","邱建云","2017-04-01","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"381","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","这个审核记录，不是按一个流程走的吗？现在是累加的","","3","","代码错误","","","

","激活","0","未确认",",","刘辉辉","2017-04-01","Trunk(#trunk)","邱建云","2017-04-01","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"380","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","总店的定价，是按包来定的，子店采购时按箱来定的，但是子店取到的价格是按包的定价","","3","","代码错误","","","","激活","0","未确认",",","刘辉辉","2017-03-31","Trunk(#trunk)","邱建云","2017-03-31","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"379","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","子店采购的商品无法入库","","3","","代码错误","","","","激活","0","未确认",",","刘辉辉","2017-03-31","Trunk(#trunk)","邱建云","2017-03-31","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"378","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","子店平台内采购只有一个商品，为什么总店的子店采购单，业务确认会有两个商品？同一个订单号","","3","","代码错误","","","","激活","0","未确认",",","刘辉辉","2017-03-31","Trunk(#trunk)","邱建云","2017-03-31","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"377","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","入库有多个审核时间就会有多个入库时间，但是同个商品入库，所有的入库时间都更新为一样的时间","","3","","代码错误","","","","激活","0","未确认",",","刘辉辉","2017-03-31","Trunk(#trunk)","邱建云","2017-03-31","","","","0000-00-00","","0000-00-00","0","","0","刘辉辉","2017-03-31","",""
"376","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","子店的平台内采购填有手机和地址，但是总店的业务确认没有手机和地址（总店制发货单有电话和地址），即使在数据库加了数据，也没有显示","","3","","代码错误","","","","激活","0","未确认",",","刘辉辉","2017-03-31","Trunk(#trunk)","邱建云","2017-03-31","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"375","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","根据商品名可以查到仓库，但是仓库查询没有这个仓库，公司查询没有总公司业务下的门店","","3","","代码错误","","","","激活","0","未确认",",","admin","2017-03-31","Trunk(#trunk)","邱建云","2017-03-31","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"371","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","总店的仓库出库扫描，虽然可以检查出是否有这个条码，但是，该扫码只记录第一次输入的条码，保存后，无法更改。删除条码后，这个条码都删除","","3","","代码错误","","","","激活","0","未确认",",","刘辉辉","2017-03-30","Trunk(#trunk)","邱建云","2017-03-30","","","","0000-00-00","","0000-00-00","0","","0","刘辉辉","2017-03-30","",""
"369","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","仓库出库扫描，如果扫描错误，删掉后，扫描数不变。保存后再次查看扫描，还是第一次扫描的6个扫描码","","3","","代码错误","","","","激活","0","未确认",",","刘辉辉","2017-03-29","Trunk(#trunk)","邱建云","2017-03-29","","","","0000-00-00","","0000-00-00","0","","0","刘辉辉","2017-03-29","",""
"367","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","商家定价里的77元为前端显示的一箱的价格，但是给我参照的价格是一包的价格。","","3","","代码错误","","","","激活","0","未确认",",","刘辉辉","2017-03-29","Trunk(#trunk)","邱建云","2017-03-29","","","","0000-00-00","","0000-00-00","0","","0","","0000-00-00","",""
"366","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","问题1：入库扫描，10箱纸尿裤，可以扫描11个？    问题2：扫描后，再次点击扫描按钮，跳出是否重新扫描，否，删掉一个错的条码，点击扫描完成，再次点击扫描按钮，无条码。问题3：扫描后，再次点击扫描按钮，跳出是否重新扫描，是，输入条码，点击扫描完成，再次点击扫描按钮，无条码。     问题4：一个商品2个型号，第二个型号的条码会覆盖第一个条码","","3","","代码错误","","","","激活","0","未确认",",","刘辉辉","2017-03-29","Trunk(#trunk)","邱建云","2017-03-29","","","","0000-00-00","","0000-00-00","0","","0","霍前林","2017-04-17","",""
"364","亲时代(#8)","系统设置(#22)","亲时代(#8)","0","0","iphone4s显示问题。图1分类的菜单导航换行，价格筛选的图标不见；图2看不到客服电话；图3为确认订单页面，文字图片重叠，无提交订单按钮；图4为iphone6p确认订单页面，确认订单被隐藏（安卓苹果的确认订单页面文字图片重叠）；图5为iphone4s,待发货页面只显示两个；图6已完成页面的商品被挡住","","3","","代码错误","","","","激活","0","未确认",",","刘辉辉","2017-03-29","Trunk(#trunk)","邱建云","2017-03-29","","","","0000-00-00","","0000-00-00","0","","0","刘辉辉","2017-03-29","",""
